x y z
4 7 60
5 7 60
6 7 60
7 7 60
8 7 60
9 7 60
10 7 60
11 7 60
12 7 60
13 7 60
14 7 60
15 7 60
16 7 60
17 7 60
18 7 60
19 7 60
20 7 60
21 7 60
22 7 60
23 7 60
24 7 60
25 7 60
26 7 60
27 7 60
28 7 60
29 7 60
30 7 60
31 7 60
32 7 60
33 7 60
34 7 60
35 7 60
36 7 60
37 7 60
38 7 60
39 7 60
40 7 60
41 7 60
42 7 60
43 7 60
44 7 60
45 7 60
46 7 60
47 7 60
48 7 60
49 7 60
50 7 60
0 8 60
1 8 60
2 8 60
3 8 60
4 8 60
5 8 60
6 8 60
7 8 60
8 8 60
9 8 60
10 8 60
11 8 60
12 8 60
13 8 60
14 8 60
15 8 60
16 8 60
17 8 60
18 8 60
19 8 60
20 8 60
21 8 60
22 8 60
23 8 60
24 8 60
25 8 60
26 8 60
27 8 60
28 8 60
29 8 60
30 8 60
31 8 60
32 8 60
33 8 60
34 8 60
35 8 60
36 8 60
37 8 60
38 8 60
39 8 60
40 8 60
41 8 60
42 8 60
43 8 60
44 8 60
45 8 60
46 8 60
47 8 60
48 8 60
49 8 60
50 8 60
0 9 60
1 9 60
2 9 60
3 9 60
4 9 60
5 9 60
6 9 60
7 9 60
8 9 60
9 9 60
10 9 60
11 9 60
12 9 60
13 9 60
14 9 60
15 9 60
16 9 60
17 9 60
18 9 60
19 9 60
20 9 60
21 9 60
22 9 60
23 9 60
24 9 60
25 9 60
26 9 60
27 9 60
28 9 60
29 9 60
30 9 60
31 9 60
32 9 60
33 9 60
34 9 60
35 9 60
36 9 60
37 9 60
38 9 60
39 9 60
40 9 60
41 9 60
42 9 60
43 9 60
44 9 60
45 9 60
46 9 60
47 9 60
48 9 60
49 9 60
50 9 60
0 10 60
1 10 60
2 10 60
3 10 60
4 10 60
5 10 60
6 10 60
7 10 60
8 10 60
9 10 60
10 10 60
11 10 60
12 10 60
13 10 60
14 10 60
15 10 60
16 10 60
17 10 60
18 10 60
19 10 60
20 10 60
21 10 60
22 10 60
23 10 60
24 10 60
25 10 60
26 10 60
27 10 60
28 10 60
29 10 60
30 10 60
31 10 60
32 10 60
33 10 60
34 10 60
35 10 60
36 10 60
37 10 60
38 10 60
39 10 60
40 10 60
41 10 60
42 10 60
43 10 60
44 10 60
45 10 60
46 10 60
47 10 60
48 10 60
49 10 60
50 10 60
0 11 60
1 11 60
2 11 60
3 11 60
4 11 60
5 11 60
6 11 60
7 11 60
8 11 60
9 11 60
10 11 60
11 11 60
12 11 60
13 11 60
14 11 60
15 11 60
16 11 60
17 11 60
18 11 60
19 11 60
20 11 60
21 11 60
22 11 60
23 11 60
24 11 60
25 11 60
26 11 60
27 11 60
28 11 60
29 11 60
30 11 60
31 11 60
32 11 60
33 11 60
34 11 60
35 11 60
36 11 60
37 11 60
38 11 60
39 11 60
40 11 60
41 11 60
42 11 60
43 11 60
44 11 60
45 11 60
46 11 60
47 11 60
48 11 60
49 11 60
50 11 60
0 12 60
1 12 60
2 12 60
3 12 60
4 12 60
5 12 60
6 12 60
7 12 60
8 12 60
9 12 60
10 12 60
11 12 60
12 12 60
13 12 60
14 12 60
15 12 60
16 12 60
17 12 60
18 12 60
19 12 60
20 12 60
21 12 60
22 12 60
23 12 60
24 12 60
25 12 60
26 12 60
27 12 60
28 12 60
29 12 60
30 12 60
31 12 60
32 12 60
33 12 60
34 12 60
35 12 60
36 12 60
37 12 60
38 12 60
39 12 60
40 12 60
41 12 60
42 12 60
43 12 60
44 12 60
45 12 60
46 12 60
47 12 60
48 12 60
49 12 60
50 12 60
0 13 60
1 13 60
2 13 60
3 13 60
4 13 57
5 13 60
6 13 60
7 13 60
8 13 60
9 13 32
10 13 60
11 13 60
12 13 60
13 13 60
14 13 32
15 13 60
16 13 60
17 13 60
18 13 60
19 13 32
20 13 56
21 13 56
22 13 56
23 13 56
24 13 57
25 13 57
26 13 57
27 13 32
28 13 56
29 13 56
30 13 56
31 13 56
32 13 32
33 13 60
34 13 60
35 13 60
36 13 60
37 13 32
38 13 56
39 13 56
40 13 56
41 13 56
42 13 32
43 13 32
44 13 32
45 13 32
46 13 32
47 13 32
48 13 32
49 13 32
50 13 32
0 14 8
1 14 12
2 14 12
3 14 12
4 14 8
5 14 8
6 14 8
7 14 8
8 14 8
9 14 8
10 14 8
11 14 8
12 14 8
13 14 8
14 14 8
15 14 8
16 14 8
17 14 8
18 14 8
19 14 8
20 14 16
21 14 16
22 14 8
23 14 8
24 14 8
25 14 8
26 14 8
27 14 8
28 14 8
29 14 8
30 14 8
31 14 8
32 14 8
33 14 8
34 14 8
35 14 8
36 14 8
37 14 8
38 14 8
39 14 8
40 14 8
41 14 8
42 14 8
43 14 8
44 14 8
45 14 8
46 14 8
47 14 8
48 14 8
49 14 8
50 14 8
0 15 0
1 15 0
2 15 0
3 15 0
4 15 0
5 15 0
6 15 0
7 15 0
8 15 0
9 15 0
10 15 0
11 15 0
12 15 0
13 15 0
14 15 0
15 15 0
16 15 0
17 15 0
18 15 0
19 15 0
20 15 8
21 15 8
22 15 0
23 15 0
24 15 0
25 15 0
26 15 0
27 15 0
28 15 0
29 15 0
30 15 0
31 15 0
32 15 0
33 15 0
34 15 0
35 15 0
36 15 0
37 15 0
38 15 0
39 15 0
40 15 0
41 15 0
42 15 0
43 15 0
44 15 0
45 15 0
46 15 0
47 15 0
48 15 0
49 15 0
50 15 0
